" 054917315245","1"
" 5903876121204","0"
" 886798017037","1"
" 9002972204661","1"
"0080500003442","1"
"0080500003480","3"
"0080500004999","321"
"0080500010051","1"
"0080500019184","9"
"0080500026335","21"
"0080500030073","19"
"0080500030417","19"
"0080500030424","7"
"0080500098240","8"
"054917243494","2"
"054917243524","3"
"054917243531","1"
"054917262549","2"
"054917262556","1"
"054917262686","2"
"054917262709","2"
"054917266141","1"
"054917266158","2"
"054917268718","1"
"054917269388","2"
"054917271282","0"
"054917271763","1"
"054917271770","1"
"054917272968","2"
"054917276454","1"
"054917276645","2"
"054917277055","1"
"054917278427","6"
"054917278434","1"
"054917279233","3"
"054917279257","1"
"054917279394","1"
"054917279431","1"
"054917279516","1"
"054917279554","2"
"054917279561","1"
"054917279578","1"
"054917280543","1"
"054917280567","1"
"054917280574","2"
"054917280581","1"
"054917282219","2"
"054917287252","1"
"054917287283","1"
"054917287382","2"
"054917287399","2"
"0549172874052","1"
"054917287528","1"
"054917287573","1"
"054917287610","1"
"054917287931","1"
"054917290115","1"
"054917290122","2"
"054917291402","1"
"054917291440","0"
"054917291891","3"
"054917292874","0"
"054917292881","1"
"054917294021","1"
"054917294090","3"
"054917294106","1"
"054917294151","1"
"054917294168","3"
"054917294175","1"
"054917295530","7"
"054917295578","3"
"054917295592","2"
"054917295608","4"
"054917295646","2"
"054917295653","1"
"054917295745","5"
"054917295820","3"
"054917295905","1"
"054917295936","1"
"054917296001","2"
"054917296018","2"
"054917296056","2"
"054917296063","1"
"054917296070","1"
"054917296087","0"
"054917296094","4"
"054917296100","1"
"054917296117","2"
"054917296131","2"
"054917298227","1"
"054917298234","1"
"054917298241","2"
"054917298265","1"
"054917298289","1"
"054917298777","1"
"054917298791","1"
"054917298890","1"
"054917299651","1"
"054917299675","5"
"054917300340","4"
"054917300463","1"
"054917300616","1"
"054917300678","1"
"054917300777","3"
"054917300821","1"
"054917300845","3"
"054917301019","4"
"054917303297","1"
"054917303365","1"
"054917303372","1"
"054917303433","1"
"054917303440","3"
"054917303464","2"
"054917303471","3"
"054917303495","3"
"054917303501","1"
"054917306182","2"
"054917307134","2"
"054917307141","1"
"054917307325","1"
"054917307332","1"
"054917307349","1"
"054917307370","1"
"054917307417","6"
"054917307431","3"
"054917307448","5"
"054917307455","2"
"054917307462","2"
"054917307479","2"
"054917307486","1"
"054917307509","1"
"054917307516","1"
"054917307523","1"
"054917307530","1"
"054917307547","2"
"054917307554","3"
"054917307561","3"
"054917307585","2"
"054917307592","1"
"054917307608","2"
"054917307622","2"
"054917307691","1"
"054917307745","1"
"054917307769","3"
"054917307783","6"
"054917307790","2"
"054917307806","1"
"054917307868","3"
"054917307899","2"
"054917307905","2"
"054917307912","1"
"054917307936","2"
"054917308025","1"
"054917308209","2"
"054917308261","3"
"054917308605","2"
"054917308612","1"
"054917309480","2"
"054917309497","4"
"054917309503","2"
"054917309909","1"
"054917309923","2"
"054917309947","1"
"054917310325","4"
"054917310349","6"
"054917310356","1"
"054917310363","2"
"054917310370","3"
"054917311261","2"
"054917311308","1"
"054917311322","7"
"054917311414","1"
"054917311445","2"
"054917311520","7"
"054917311537","8"
"054917311568","5"
"054917311704","1"
"054917311735","2"
"054917311742","2"
"054917311780","1"
"054917311810","1"
"054917311827","1"
"054917311858","1"
"054917311902","1"
"054917311926","1"
"054917311988","1"
"054917312046","1"
"054917312053","1"
"054917312060","2"
"054917312909","1"
"054917312947","1"
"054917312985","1"
"054917313005","1"
"054917313012","1"
"054917313029","1"
"054917313043","1"
"054917313074","1"
"054917313098","1"
"054917313296","1"
"054917313371","1"
"054917313395","5"
"054917313418","1"
"054917313425","1"
"054917313456","1"
"054917313487","1"
"054917313517","1"
"054917313555","3"
"054917313579","4"
"054917313586","1"
"054917313593","1"
"054917313616","5"
"054917313623","3"
"054917313630","2"
"054917313647","2"
"054917313852","1"
"054917313890","1"
"054917313920","1"
"054917313944","1"
"054917313982","1"
"054917314002","1"
"054917314026","1"
"054917314071","1"
"054917314668","4"
"054917314675","7"
"054917314682","3"
"054917314699","1"
"054917314729","3"
"054917314736","1"
"054917314750","1"
"054917314767","3"
"054917314781","3"
"054917314798","3"
"054917314811","4"
"054917314828","9"
"054917314897","6"
"054917314910","5"
"054917314927","5"
"054917314934","4"
"054917314972","2"
"054917314989","3"
"054917315016","3"
"054917315023","2"
"054917315030","1"
"054917315047","4"
"054917315054","2"
"054917315085","6"
"054917315108","5"
"054917315115","1"
"054917315122","5"
"054917315146","1"
"0549173151466","1"
"054917315153","3"
"054917315177","3"
"054917315191","3"
"054917315207","3"
"054917315221","6"
"054917315238","3"
"054917315245","7"
"054917315252","5"
"054917316907","2"
"054917316976","5"
"054917317249","1"
"054917317324","1"
"054917317348","4"
"054917317461","1"
"054917317607","2"
"054917318062","3"
"054917318079","2"
"054917318086","2"
"054917318093","7"
"054917318109","1"
"054917318123","2"
"054917318130","1"
"054917318178","1"
"054917318239","1"
"054917318246","1"
"054917318284","2"
"054917318291","1"
"054917318307","1"
"054917318314","2"
"054917318345","1"
"054917318376","1"
"054917318383","2"
"054917318390","2"
"054917318406","3"
"054917318413","2"
"054917318420","1"
"054917318437","1"
"054917318444","1"
"054917318451","1"
"054917318468","3"
"054917318475","2"
"054917318505","1"
"054917318529","1"
"054917318536","1"
"054917318550","2"
"054917318567","1"
"054917318628","1"
"054917318635","2"
"054917318659","2"
"054917318666","3"
"054917318673","1"
"054917318680","4"
"054917318734","1"
"054917318741","1"
"054917318758","1"
"054917318772","4"
"054917318789","3"
"054917318826","4"
"054917318833","2"
"054917318840","6"
"054917318857","1"
"054917318864","1"
"054917318888","1"
"054917319120","2"
"054917319977","2"
"054917320058","1"
"054917320072","1"
"054917320140","2"
"054917320157","1"
"054917320171","2"
"054917320195","8"
"054917320201","1"
"054917320249","4"
"054917320263","0"
"054917320270","1"
"054917320287","1"
"054917320294","1"
"054917320409","1"
"054917320577","1"
"054917320591","2"
"054917321208","2"
"0549173217278","1"
"0549173217346","1"
"054917321741","2"
"054917321765","9"
"054917322038","1"
"054917322069","3"
"054917322144","4"
"054917322151","2"
"054917322175","5"
"054917322410","1"
"054917322977","1"
"054917323028","1"
"054917323165","1"
"054917324780","2"
"054917325305","1"
"054917327378","1"
"054917327392","1"
"054917327408","1"
"054917327415","1"
"054917327439","1"
"054917327446","1"
"054917327453","1"
"054917327491","1"
"054917327507","1"
"054917327514","1"
"054917327637","4"
"054917327644","4"
"054917327668","1"
"054917327682","4"
"054917327736","3"
"054917327750","3"
"054917327859","4"
"054917327866","4"
"054917327910","2"
"054917328023","1"
"054917328047","1"
"054917328061","1"
"054917328078","1"
"054917328085","1"
"054917328092","1"
"054917328108","4"
"054917328122","1"
"054917328139","1"
"054917328153","1"
"054917328160","2"
"054917328177","1"
"054917328221","1"
"054917328238","1"
"054917328252","1"
"054917328269","2"
"054917328290","1"
"054917328306","1"
"054917328313","1"
"054917328535","1"
"054917329112","2"
"054917329136","3"
"054917329143","3"
"054917329150","3"
"054917329174","1"
"054917329181","4"
"054917329235","2"
"054917329242","3"
"054917329266","1"
"054917329310","2"
"054917329327","3"
"054917329334","0"
"054917329341","2"
"054917329358","3"
"054917329365","2"
"054917329402","2"
"054917329433","3"
"054917329457","4"
"054917329464","1"
"054917329471","1"
"054917329488","2"
"054917329495","1"
"054917329501","2"
"054917329532","1"
"054917329549","1"
"054917329556","1"
"054917329563","1"
"054917329570","7"
"054917329587","2"
"054917329594","6"
"054917329600","1"
"054917329655","3"
"054917329679","3"
"054917329709","1"
"054917329723","2"
"054917329747","2"
"054917329761","1"
"054917329778","3"
"054917329792","5"
"054917329846","2"
"054917329884","3"
"054917329907","1"
"054917330606","3"
"054917330613","3"
"054917330620","2"
"054917330958","8"
"054917331047","2"
"054917331108","4"
